"frozenset([8, 9, 10, 1])",1,13,4,100
"frozenset([9, 2, 3, 1])",2,13,4,100
"frozenset([0, 1, 10, 4])",1,13,4,100
"frozenset([0, 9, 6, 7])",1,13,4,100
"frozenset([4, 2, 12, 7])",1,13,4,100
"frozenset([0, 1, 2, 5])",2,13,4,100
"frozenset([0, 12, 3, 4])",2,13,4,100
"frozenset([1, 7, 6, 9])",1,13,4,100
"frozenset([8, 1, 5, 7])",2,13,4,100
"frozenset([8, 12, 5, 7])",1,13,4,100
"frozenset([2, 11, 5, 7])",3,13,4,100
"frozenset([9, 4, 1, 7])",3,13,4,100
"frozenset([1, 11, 9, 7])",2,13,4,100
"frozenset([1, 11, 5, 7])",1,13,4,100
"frozenset([11, 9, 3, 12])",2,13,4,100
"frozenset([1, 2, 3, 6])",1,13,4,100
"frozenset([10, 11, 12, 2])",1,13,4,100
"frozenset([1, 4, 5, 7])",1,13,4,100
"frozenset([10, 3, 12, 5])",1,13,4,100
"frozenset([12, 10, 3, 4])",2,13,4,100
"frozenset([1, 11, 4, 7])",1,13,4,100
"frozenset([3, 10, 11, 12])",2,13,4,100
"frozenset([9, 3, 12, 6])",2,13,4,100
"frozenset([0, 2, 3, 4])",3,13,4,100
"frozenset([11, 2, 3, 12])",3,13,4,100
"frozenset([1, 11, 4, 5])",1,13,4,100
"frozenset([1, 2, 10, 7])",1,13,4,100
"frozenset([9, 10, 4, 12])",1,13,4,100
"frozenset([8, 3, 5, 6])",2,13,4,100
"frozenset([8, 1, 10, 0])",2,13,4,100
"frozenset([8, 1, 2, 5])",2,13,4,100
"frozenset([9, 11, 5, 6])",1,13,4,100
"frozenset([8, 10, 3, 4])",2,13,4,100
"frozenset([0, 3, 12, 5])",2,13,4,100
"frozenset([0, 2, 4, 7])",2,13,4,100
"frozenset([9, 10, 5, 1])",1,13,4,100
"frozenset([0, 10, 4, 7])",2,13,4,100
"frozenset([8, 0, 5, 7])",1,13,4,100
"frozenset([1, 2, 11, 4])",2,13,4,100
"frozenset([0, 9, 4, 7])",2,13,4,100
"frozenset([0, 4, 11, 12])",1,13,4,100
"frozenset([8, 2, 12, 5])",1,13,4,100
"frozenset([1, 10, 12, 5])",1,13,4,100
"frozenset([8, 2, 4, 7])",2,13,4,100
"frozenset([11, 2, 3, 4])",2,13,4,100
"frozenset([10, 2, 6, 5])",1,13,4,100
"frozenset([1, 12, 4, 7])",2,13,4,100
"frozenset([12, 4, 6, 1])",1,13,4,100
"frozenset([9, 2, 11, 5])",2,13,4,100
"frozenset([0, 1, 10, 12])",1,13,4,100
"frozenset([0, 9, 11, 5])",2,13,4,100
"frozenset([9, 4, 5, 12])",2,13,4,100
"frozenset([8, 0, 12, 1])",3,13,4,100
"frozenset([2, 5, 6, 7])",1,13,4,100
"frozenset([3, 11, 6, 7])",2,13,4,100
"frozenset([0, 10, 11, 6])",1,13,4,100
"frozenset([9, 10, 3, 7])",1,13,4,100
"frozenset([8, 9, 2, 6])",2,13,4,100
"frozenset([9, 11, 4, 5])",1,13,4,100
"frozenset([1, 2, 12, 6])",1,13,4,100
"frozenset([1, 10, 11, 12])",2,13,4,100
"frozenset([8, 9, 3, 7])",2,13,4,100
"frozenset([0, 9, 4, 6])",3,13,4,100
"frozenset([0, 1, 2, 12])",2,13,4,100
"frozenset([1, 10, 4, 12])",1,13,4,100
"frozenset([9, 3, 5, 7])",1,13,4,100
"frozenset([9, 2, 11, 6])",1,13,4,100
"frozenset([8, 2, 11, 6])",2,13,4,100
"frozenset([1, 10, 3, 5])",1,13,4,100
"frozenset([8, 3, 5, 7])",1,13,4,100
"frozenset([4, 11, 12, 1])",2,13,4,100
"frozenset([0, 9, 10, 6])",1,13,4,100
"frozenset([11, 9, 3, 7])",2,13,4,100
"frozenset([0, 9, 2, 11])",1,13,4,100
"frozenset([9, 10, 12, 1])",1,13,4,100
"frozenset([8, 2, 6, 7])",1,13,4,100
"frozenset([8, 1, 3, 7])",1,13,4,100
"frozenset([9, 3, 12, 7])",4,13,4,100
"frozenset([8, 9, 11, 6])",1,13,4,100
"frozenset([1, 12, 5, 6])",2,13,4,100
"frozenset([8, 9, 5, 6])",2,13,4,100
"frozenset([0, 10, 3, 7])",4,13,4,100
"frozenset([0, 8, 11, 5])",1,13,4,100
"frozenset([9, 2, 10, 5])",1,13,4,100
"frozenset([0, 10, 6, 7])",3,13,4,100
"frozenset([8, 9, 2, 5])",1,13,4,100
"frozenset([0, 9, 11, 4])",2,13,4,100
"frozenset([1, 2, 4, 6])",1,13,4,100
"frozenset([0, 9, 11, 12])",1,13,4,100
"frozenset([1, 10, 4, 6])",2,13,4,100
"frozenset([11, 2, 3, 10])",2,13,4,100
"frozenset([9, 2, 12, 10])",1,13,4,100
"frozenset([1, 10, 11, 6])",3,13,4,100
"frozenset([0, 9, 4, 12])",2,13,4,100
"frozenset([8, 0, 4, 7])",2,13,4,100
"frozenset([0, 4, 10, 12])",3,13,4,100
"frozenset([8, 2, 10, 7])",4,13,4,100
"frozenset([8, 1, 10, 2])",1,13,4,100
"frozenset([4, 2, 11, 12])",2,13,4,100
"frozenset([1, 4, 6, 9])",3,13,4,100
"frozenset([11, 10, 3, 6])",2,13,4,100
"frozenset([1, 2, 11, 10])",3,13,4,100
"frozenset([8, 3, 11, 12])",3,13,4,100
"frozenset([9, 2, 12, 5])",4,13,4,100
"frozenset([10, 3, 4, 6])",1,13,4,100
"frozenset([0, 11, 4, 7])",1,13,4,100
"frozenset([9, 3, 4, 6])",1,13,4,100
"frozenset([1, 2, 4, 9])",3,13,4,100
"frozenset([2, 4, 10, 7])",2,13,4,100
"frozenset([0, 8, 10, 6])",1,13,4,100
"frozenset([8, 12, 2, 4])",1,13,4,100
"frozenset([9, 10, 11, 4])",1,13,4,100
"frozenset([0, 12, 4, 7])",1,13,4,100
"frozenset([8, 10, 5, 7])",2,13,4,100
"frozenset([1, 2, 3, 5])",1,13,4,100
"frozenset([0, 1, 5, 7])",1,13,4,100
"frozenset([9, 10, 4, 7])",1,13,4,100
"frozenset([9, 10, 3, 4])",4,13,4,100
"frozenset([10, 11, 12, 6])",1,13,4,100
"frozenset([10, 3, 12, 2])",1,13,4,100
