0,330,13,4,100
1,300,13,4,100
2,300,13,4,100
3,298,13,4,100
4,309,13,4,100
5,314,13,4,100
6,284,13,4,100
7,300,13,4,100
8,308,13,4,100
9,321,13,4,100
10,328,13,4,100
11,293,13,4,100
12,315,13,4,100
0,323,13,4,233424280
1,294,13,4,233424280
2,320,13,4,233424280
3,286,13,4,233424280
4,309,13,4,233424280
5,298,13,4,233424280
6,323,13,4,233424280
7,304,13,4,233424280
8,298,13,4,233424280
9,323,13,4,233424280
10,316,13,4,233424280
11,313,13,4,233424280
12,293,13,4,233424280
0,317,13,4,429496729
1,306,13,4,429496729
2,313,13,4,429496729
3,303,13,4,429496729
4,302,13,4,429496729
5,300,13,4,429496729
6,295,13,4,429496729
7,325,13,4,429496729
8,295,13,4,429496729
9,334,13,4,429496729
10,297,13,4,429496729
11,322,13,4,429496729
12,291,13,4,429496729
0,775,13,10,100
1,758,13,10,100
2,792,13,10,100
3,774,13,10,100
4,751,13,10,100
5,767,13,10,100
6,782,13,10,100
7,763,13,10,100
8,761,13,10,100
9,780,13,10,100
10,778,13,10,100
11,769,13,10,100
12,750,13,10,100
0,775,13,10,233424280
1,762,13,10,233424280
2,776,13,10,233424280
3,758,13,10,233424280
4,750,13,10,233424280
5,777,13,10,233424280
6,774,13,10,233424280
7,787,13,10,233424280
8,758,13,10,233424280
9,772,13,10,233424280
10,775,13,10,233424280
11,769,13,10,233424280
12,767,13,10,233424280
0,792,13,10,429496729
1,751,13,10,429496729
2,775,13,10,429496729
3,765,13,10,429496729
4,774,13,10,429496729
5,747,13,10,429496729
6,758,13,10,429496729
7,801,13,10,429496729
8,769,13,10,429496729
9,766,13,10,429496729
10,764,13,10,429496729
11,772,13,10,429496729
12,766,13,10,429496729
0,131,30,4,100
1,122,30,4,100
2,146,30,4,100
3,139,30,4,100
4,150,30,4,100
5,155,30,4,100
6,124,30,4,100
7,134,30,4,100
8,141,30,4,100
9,133,30,4,100
10,120,30,4,100
11,113,30,4,100
12,136,30,4,100
13,131,30,4,100
14,139,30,4,100
15,146,30,4,100
16,150,30,4,100
17,126,30,4,100
18,121,30,4,100
19,120,30,4,100
20,145,30,4,100
21,131,30,4,100
22,134,30,4,100
23,131,30,4,100
