"frozenset({13, 15})",115137,30,2,100
"frozenset({16, 22})",115071,30,2,100
"frozenset({24, 5})",115310,30,2,100
"frozenset({2, 4})",114419,30,2,100
"frozenset({27, 12})",114481,30,2,100
"frozenset({2, 28})",115133,30,2,100
"frozenset({16, 23})",115002,30,2,100
"frozenset({8, 29})",115013,30,2,100
"frozenset({26, 5})",115080,30,2,100
"frozenset({29, 14})",115028,30,2,100
"frozenset({13, 22})",115017,30,2,100
"frozenset({17, 2})",115460,30,2,100
"frozenset({20, 6})",115343,30,2,100
"frozenset({18, 7})",114767,30,2,100
"frozenset({25, 6})",114665,30,2,100
"frozenset({2, 20})",114904,30,2,100
"frozenset({25, 22})",114267,30,2,100
"frozenset({16, 10})",115384,30,2,100
"frozenset({10, 3})",114860,30,2,100
"frozenset({20, 5})",114990,30,2,100
"frozenset({3, 4})",115304,30,2,100
"frozenset({9, 20})",114841,30,2,100
"frozenset({26, 13})",115100,30,2,100
"frozenset({27, 20})",115173,30,2,100
"frozenset({1, 18})",114779,30,2,100
"frozenset({25, 13})",114390,30,2,100
"frozenset({9, 12})",115068,30,2,100
"frozenset({24, 19})",115220,30,2,100
"frozenset({10, 12})",115124,30,2,100
"frozenset({6, 7})",115506,30,2,100
"frozenset({1, 26})",114420,30,2,100
"frozenset({1, 19})",115090,30,2,100
"frozenset({3, 5})",115155,30,2,100
"frozenset({9, 25})",115238,30,2,100
"frozenset({16, 3})",114567,30,2,100
"frozenset({0, 22})",114332,30,2,100
"frozenset({8, 5})",115214,30,2,100
"frozenset({18, 26})",114330,30,2,100
"frozenset({12, 5})",114849,30,2,100
"frozenset({22, 7})",114798,30,2,100
"frozenset({3, 21})",114704,30,2,100
"frozenset({10, 5})",115270,30,2,100
"frozenset({10, 20})",115209,30,2,100
"frozenset({3, 20})",114490,30,2,100
"frozenset({8, 19})",114915,30,2,100
"frozenset({10, 19})",114907,30,2,100
"frozenset({16, 15})",114425,30,2,100
"frozenset({10, 7})",115009,30,2,100
"frozenset({28, 14})",115163,30,2,100
"frozenset({24, 25})",115017,30,2,100
"frozenset({17, 29})",114688,30,2,100
"frozenset({8, 17})",114974,30,2,100
"frozenset({12, 20})",114954,30,2,100
"frozenset({0, 20})",115014,30,2,100
"frozenset({24, 7})",115408,30,2,100
"frozenset({16, 29})",114949,30,2,100
"frozenset({27, 5})",114675,30,2,100
